eps,min_samples,metric,score,n_clusters,outliers
0.1,1,cityblock,nan,151,0
0.1,1,euclidean,nan,151,0
0.1,1,manhattan,nan,151,0
0.1,152,cityblock,nan,1,1
0.1,152,euclidean,nan,1,1
0.1,152,manhattan,nan,1,1
0.2,1,cityblock,nan,151,0
0.2,1,euclidean,nan,151,0
0.2,1,manhattan,nan,151,0
0.2,152,cityblock,nan,1,1
0.2,152,euclidean,nan,1,1
0.2,152,manhattan,nan,1,1
0.30000000000000004,1,cityblock,nan,151,0
0.30000000000000004,1,euclidean,nan,151,0
0.30000000000000004,1,manhattan,nan,151,0
0.30000000000000004,152,cityblock,nan,1,1
0.30000000000000004,152,euclidean,nan,1,1
0.30000000000000004,152,manhattan,nan,1,1
0.4,1,cityblock,nan,151,0
0.4,1,euclidean,nan,151,0
0.4,1,manhattan,nan,151,0
0.4,152,cityblock,nan,1,1
0.4,152,euclidean,nan,1,1
0.4,152,manhattan,nan,1,1
0.5,1,cityblock,nan,151,0
0.5,1,euclidean,nan,151,0
0.5,1,manhattan,nan,151,0
0.5,152,cityblock,nan,1,1
0.5,152,euclidean,nan,1,1
0.5,152,manhattan,nan,1,1
0.6,1,cityblock,nan,151,0
0.6,1,euclidean,nan,151,0
0.6,1,manhattan,nan,151,0
0.6,152,cityblock,nan,1,1
0.6,152,euclidean,nan,1,1
0.6,152,manhattan,nan,1,1
0.7000000000000001,1,cityblock,nan,151,0
0.7000000000000001,1,euclidean,nan,151,0
0.7000000000000001,1,manhattan,nan,151,0
0.7000000000000001,152,cityblock,nan,1,1
0.7000000000000001,152,euclidean,nan,1,1
0.7000000000000001,152,manhattan,nan,1,1
0.8,1,cityblock,nan,151,0
0.8,1,euclidean,nan,151,0
0.8,1,manhattan,nan,151,0
0.8,152,cityblock,nan,1,1
0.8,152,euclidean,nan,1,1
0.8,152,manhattan,nan,1,1
0.9,1,cityblock,nan,151,0
0.9,1,euclidean,nan,151,0
0.9,1,manhattan,nan,151,0
0.9,152,cityblock,nan,1,1
0.9,152,euclidean,nan,1,1
0.9,152,manhattan,nan,1,1
1.0,1,cityblock,nan,151,0
1.0,1,euclidean,nan,151,0
1.0,1,manhattan,nan,151,0
1.0,152,cityblock,nan,1,1
1.0,152,euclidean,nan,1,1
1.0,152,manhattan,nan,1,1
1.1,1,cityblock,nan,151,0
1.1,1,euclidean,nan,151,0
1.1,1,manhattan,nan,151,0
1.1,152,cityblock,nan,1,1
1.1,152,euclidean,nan,1,1
1.1,152,manhattan,nan,1,1
1.2000000000000002,1,cityblock,nan,151,0
1.2000000000000002,1,euclidean,nan,151,0
1.2000000000000002,1,manhattan,nan,151,0
1.2000000000000002,152,cityblock,nan,1,1
1.2000000000000002,152,euclidean,nan,1,1
1.2000000000000002,152,manhattan,nan,1,1
1.3000000000000003,1,cityblock,nan,151,0
1.3000000000000003,1,euclidean,nan,151,0
1.3000000000000003,1,manhattan,nan,151,0
1.3000000000000003,152,cityblock,nan,1,1
1.3000000000000003,152,euclidean,nan,1,1
1.3000000000000003,152,manhattan,nan,1,1
1.4000000000000001,1,cityblock,nan,151,0
1.4000000000000001,1,euclidean,nan,151,0
1.4000000000000001,1,manhattan,nan,151,0
1.4000000000000001,152,cityblock,nan,1,1
1.4000000000000001,152,euclidean,nan,1,1
1.4000000000000001,152,manhattan,nan,1,1
1.5000000000000002,1,cityblock,nan,151,0
1.5000000000000002,1,euclidean,nan,151,0
1.5000000000000002,1,manhattan,nan,151,0
1.5000000000000002,152,cityblock,nan,1,1
1.5000000000000002,152,euclidean,nan,1,1
1.5000000000000002,152,manhattan,nan,1,1
1.6,1,cityblock,nan,151,0
1.6,1,euclidean,nan,151,0
1.6,1,manhattan,nan,151,0
1.6,152,cityblock,nan,1,1
1.6,152,euclidean,nan,1,1
1.6,152,manhattan,nan,1,1
1.7000000000000002,1,cityblock,nan,151,0
1.7000000000000002,1,euclidean,nan,151,0
1.7000000000000002,1,manhattan,nan,151,0
1.7000000000000002,152,cityblock,nan,1,1
1.7000000000000002,152,euclidean,nan,1,1
1.7000000000000002,152,manhattan,nan,1,1
1.8000000000000003,1,cityblock,nan,151,0
1.8000000000000003,1,euclidean,nan,151,0
1.8000000000000003,1,manhattan,nan,151,0
1.8000000000000003,152,cityblock,nan,1,1
1.8000000000000003,152,euclidean,nan,1,1
1.8000000000000003,152,manhattan,nan,1,1
1.9000000000000001,1,cityblock,nan,151,0
1.9000000000000001,1,euclidean,nan,151,0
1.9000000000000001,1,manhattan,nan,151,0
1.9000000000000001,152,cityblock,nan,1,1
1.9000000000000001,152,euclidean,nan,1,1
