eps,min_samples,metric,score,n_clusters,outliers
0.1,1,euclidean,nan,151,0
0.1,2,euclidean,nan,1,1
0.1,3,euclidean,nan,1,1
0.1,4,euclidean,nan,1,1
0.1,5,euclidean,nan,1,1
0.1,6,euclidean,nan,1,1
0.1,7,euclidean,nan,1,1
0.1,8,euclidean,nan,1,1
0.1,9,euclidean,nan,1,1
0.1,10,euclidean,nan,1,1
0.1,11,euclidean,nan,1,1
0.1,12,euclidean,nan,1,1
0.1,13,euclidean,nan,1,1
0.1,14,euclidean,nan,1,1
0.1,15,euclidean,nan,1,1
0.1,16,euclidean,nan,1,1
0.1,17,euclidean,nan,1,1
0.1,18,euclidean,nan,1,1
0.1,19,euclidean,nan,1,1
0.1,20,euclidean,nan,1,1
0.1,21,euclidean,nan,1,1
0.1,22,euclidean,nan,1,1
0.1,23,euclidean,nan,1,1
0.1,24,euclidean,nan,1,1
0.1,25,euclidean,nan,1,1
0.1,26,euclidean,nan,1,1
0.1,27,euclidean,nan,1,1
0.1,28,euclidean,nan,1,1
0.1,29,euclidean,nan,1,1
0.1,30,euclidean,nan,1,1
0.1,31,euclidean,nan,1,1
0.1,32,euclidean,nan,1,1
0.1,33,euclidean,nan,1,1
0.1,34,euclidean,nan,1,1
0.1,35,euclidean,nan,1,1
0.1,36,euclidean,nan,1,1
0.1,37,euclidean,nan,1,1
0.1,38,euclidean,nan,1,1
0.1,39,euclidean,nan,1,1
0.1,40,euclidean,nan,1,1
0.1,41,euclidean,nan,1,1
0.1,42,euclidean,nan,1,1
0.1,43,euclidean,nan,1,1
0.1,44,euclidean,nan,1,1
0.1,45,euclidean,nan,1,1
0.1,46,euclidean,nan,1,1
0.1,47,euclidean,nan,1,1
0.1,48,euclidean,nan,1,1
0.1,49,euclidean,nan,1,1
0.1,50,euclidean,nan,1,1
0.1,51,euclidean,nan,1,1
0.1,52,euclidean,nan,1,1
0.1,53,euclidean,nan,1,1
0.1,54,euclidean,nan,1,1
0.1,55,euclidean,nan,1,1
0.1,56,euclidean,nan,1,1
0.1,57,euclidean,nan,1,1
0.1,58,euclidean,nan,1,1
0.1,59,euclidean,nan,1,1
0.1,60,euclidean,nan,1,1
0.1,61,euclidean,nan,1,1
0.1,62,euclidean,nan,1,1
0.1,63,euclidean,nan,1,1
0.1,64,euclidean,nan,1,1
0.1,65,euclidean,nan,1,1
0.1,66,euclidean,nan,1,1
0.1,67,euclidean,nan,1,1
0.1,68,euclidean,nan,1,1
0.1,69,euclidean,nan,1,1
0.1,70,euclidean,nan,1,1
0.1,71,euclidean,nan,1,1
0.1,72,euclidean,nan,1,1
0.1,73,euclidean,nan,1,1
0.1,74,euclidean,nan,1,1
0.1,75,euclidean,nan,1,1
0.1,76,euclidean,nan,1,1
0.1,77,euclidean,nan,1,1
0.1,78,euclidean,nan,1,1
0.1,79,euclidean,nan,1,1
0.1,80,euclidean,nan,1,1
0.1,81,euclidean,nan,1,1
0.1,82,euclidean,nan,1,1
0.1,83,euclidean,nan,1,1
0.1,84,euclidean,nan,1,1
0.1,85,euclidean,nan,1,1
0.1,86,euclidean,nan,1,1
0.1,87,euclidean,nan,1,1
0.1,88,euclidean,nan,1,1
0.1,89,euclidean,nan,1,1
0.1,90,euclidean,nan,1,1
0.1,91,euclidean,nan,1,1
0.1,92,euclidean,nan,1,1
0.1,93,euclidean,nan,1,1
0.1,94,euclidean,nan,1,1
0.1,95,euclidean,nan,1,1
0.1,96,euclidean,nan,1,1
0.1,97,euclidean,nan,1,1
0.1,98,euclidean,nan,1,1
0.1,99,euclidean,nan,1,1
0.1,100,euclidean,nan,1,1
0.1,101,euclidean,nan,1,1
0.1,102,euclidean,nan,1,1
0.1,103,euclidean,nan,1,1
0.1,104,euclidean,nan,1,1
0.1,105,euclidean,nan,1,1
0.1,106,euclidean,nan,1,1
0.1,107,euclidean,nan,1,1
0.1,108,euclidean,nan,1,1
0.1,109,euclidean,nan,1,1
0.1,110,euclidean,nan,1,1
0.1,111,euclidean,nan,1,1
0.1,112,euclidean,nan,1,1
0.1,113,euclidean,nan,1,1
0.1,114,euclidean,nan,1,1
0.1,115,euclidean,nan,1,1
0.1,116,euclidean,nan,1,1
0.1,117,euclidean,nan,1,1
0.1,118,euclidean,nan,1,1
0.1,119,euclidean,nan,1,1
0.1,120,euclidean,nan,1,1
0.1,121,euclidean,nan,1,1
0.1,122,euclidean,nan,1,1
0.1,123,euclidean,nan,1,1
0.1,124,euclidean,nan,1,1
0.1,125,euclidean,nan,1,1
0.1,126,euclidean,nan,1,1
0.1,127,euclidean,nan,1,1
0.1,128,euclidean,nan,1,1
0.1,129,euclidean,nan,1,1
0.1,130,euclidean,nan,1,1
0.1,131,euclidean,nan,1,1
0.1,132,euclidean,nan,1,1
0.1,133,euclidean,nan,1,1
0.1,134,euclidean,nan,1,1
0.1,135,euclidean,nan,1,1
0.1,136,euclidean,nan,1,1
0.1,137,euclidean,nan,1,1
0.1,138,euclidean,nan,1,1
0.1,139,euclidean,nan,1,1
0.1,140,euclidean,nan,1,1
0.1,141,euclidean,nan,1,1
0.1,142,euclidean,nan,1,1
0.1,143,euclidean,nan,1,1
0.1,144,euclidean,nan,1,1
0.1,145,euclidean,nan,1,1
0.1,146,euclidean,nan,1,1
0.1,147,euclidean,nan,1,1
0.1,148,euclidean,nan,1,1
0.1,149,euclidean,nan,1,1
0.1,150,euclidean,nan,1,1
0.1,151,euclidean,nan,1,1
0.2,1,euclidean,nan,151,0
0.2,2,euclidean,nan,1,1
0.2,3,euclidean,nan,1,1
0.2,4,euclidean,nan,1,1
0.2,5,euclidean,nan,1,1
0.2,6,euclidean,nan,1,1
0.2,7,euclidean,nan,1,1
0.2,8,euclidean,nan,1,1
0.2,9,euclidean,nan,1,1
0.2,10,euclidean,nan,1,1
0.2,11,euclidean,nan,1,1
0.2,12,euclidean,nan,1,1
0.2,13,euclidean,nan,1,1
0.2,14,euclidean,nan,1,1
0.2,15,euclidean,nan,1,1
0.2,16,euclidean,nan,1,1
0.2,17,euclidean,nan,1,1
0.2,18,euclidean,nan,1,1
0.2,19,euclidean,nan,1,1
0.2,20,euclidean,nan,1,1
0.2,21,euclidean,nan,1,1
0.2,22,euclidean,nan,1,1
0.2,23,euclidean,nan,1,1
0.2,24,euclidean,nan,1,1
0.2,25,euclidean,nan,1,1
0.2,26,euclidean,nan,1,1
0.2,27,euclidean,nan,1,1
0.2,28,euclidean,nan,1,1
0.2,29,euclidean,nan,1,1
0.2,30,euclidean,nan,1,1
0.2,31,euclidean,nan,1,1
0.2,32,euclidean,nan,1,1
